country,count,average_attacks_standardized
Austria,11,0.6470588235294118
Belgium,19,1.1176470588235294
Bulgaria,11,0.6470588235294118
Croatia,2,0.11764705882352941
Cyprus,4,0.23529411764705882
CzechRepublic,10,0.5882352941176471
Denmark,14,0.8235294117647058
Estonia,3,0.17647058823529413
Finland,5,0.29411764705882354
France,40,2.3529411764705883
Germany,64,3.764705882352941
Greece,7,0.4117647058823529
Hungary,4,0.23529411764705882
Ireland,2,0.11764705882352941
Italy,42,2.4705882352941178
Latvia,3,0.17647058823529413
Lithuania,9,0.5294117647058824
Luxembourg,2,0.11764705882352941
Netherlands,17,1.0
Poland,15,0.8823529411764706
Portugal,4,0.23529411764705882
Romania,5,0.29411764705882354
Slovakia,4,0.23529411764705882
Spain,65,3.823529411764706
Sweden,12,0.7058823529411765
