Doc Name,Date,Status,Proposal,Type of Doc,Actor,Technical Field,Objectives and Priorities,Cyber Capabilities,Roles and Responsabilities,Resource Allocation,Challenges and Threats,Link
"Resilience, Deterrence and Defence: Building strong cybersecurity for the EU",13/09/2017,Not started,No,Communication,EU Comm,JOIN(2017) 450 final,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52017JC0450
concerning restrictive measures against cyber-attacks threatening the Union or its Member States,17/05/2019,Not started,No,Decision,EU Council,L 129 I/13,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX%3A32019D0797
Cybersecurity Act,07/06/2019,Not started,No,Regulation,"Legislative ",526/2013,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32019R0881
The EU's Cybersecurity Strategy for the Digital Decade,16/12/2020,Not started,No,Communication,EU Comm,JOIN(2020) 18 final,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52020JC0018&qid=1698840059147
The EU's Cybersecurity Strategy for the Digital Decade,16/12/2020,Not started,No,Communication,EU Comm,JOIN(2020) 18 final,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52020JC0018
establishing the European Defence Fund and repealing Regulation (EU),12/05/2021,Not started,No,Regulation,"Legislative ",L 170/149,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32021R0697&qid=1698840414585
"European Union Military Vision and Strategy on
Cyberspace as a Domain of Operations",15/09/2021,Not started,No,Other,EU Comm,EEAS(2021) 706 REV4,,,,,,https://www.statewatch.org/media/2879/eu-eeas-military-vision-cyberspace-2021-706-rev4.pdf
"Council conclusions on the development of the European Union's cyber
posture",23/05/2022,Not started,No,Conclusion,EU Council,9364/22,,,,,,https://www.consilium.europa.eu/media/56358/st09364-en22.pdf
Cyber Resilience Act,15/09/2022,Not started,Yes,Regulation,EU Comm,2019/1020,,,,,,https://eur-lex.europa.eu/resource.html?uri=cellar:864f472b-34e9-11ed-9c68-01aa75ed71a1.0001.02/DOC_1&format=PDF
EU Policy on Cyber Defence,10/11/2022,Not started,No,Communication,EU Comm,JOIN(2022) 49 final,,,,,,https://www.eeas.europa.eu/sites/default/files/documents/Comm_cyber%20defence.pdf
EU Cyber Defence Policy Framework,19/11/2022,Not started,No,Framework,EU Council,14413/18,,,,,,https://data.consilium.europa.eu/doc/document/ST-14413-2018-INIT/en/pdf
"NIS 2
Directive",14/12/2022,Not started,No,Directive,"Legislative ",L 333/80,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022L2555&qid=1698841159871
on the resilience of critical entities and repealing Council Directive,27/12/2022,Not started,No,Directive,"Legislative ",L 333/164,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022L2557
Council Conclusions on the EU Policy on Cyber Defence,22/05/2023,Not started,No,Conclusion,EU Council,9618/23,,,,,,https://www.consilium.europa.eu/media/64526/st09618-en23.pdf
Strategic Compass,,Not started,No,Other,EU Comm,,,,,,,https://www.eeas.europa.eu/sites/default/files/documents/strategic_compass_en3_web.pdf
on building a Joint Cyber Unit,23/06/2021,Not started,No,Recommendations,EU Comm,L 237/1,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32021H1086
